order_id;sum;date;payment_form;shipping;shipping_cost;discount;postcode;city;country;product_id 1;product_name 1;product_code 1;product_price 1;product_discount 1;product_quantity 1;product_value 1;product_pkwiu 1;product_tax 1;product_tax_value 1;product_id 2;product_name 2;product_code 2;product_price 2;product_discount 2;product_quantity 2;product_value 2;product_pkwiu 2;product_tax 2;product_tax_value 2;product_id 3;product_name 3;product_code 3;product_price 3;product_discount 3;product_quantity 3;product_value 3;product_pkwiu 3;product_tax 3;product_tax_value 3;product_id 4;product_name 4;product_code 4;product_price 4;product_discount 4;product_quantity 4;product_value 4;product_pkwiu 4;product_tax 4;product_tax_value 4;product_id 5;product_name 5;product_code 5;product_price 5;product_discount 5;product_quantity 5;product_value 5;product_pkwiu 5;product_tax 5;product_tax_value 5;product_id 6;product_name 6;product_code 6;product_price 6;product_discount 6;product_quantity 6;product_value 6;product_pkwiu 6;product_tax 6;product_tax_value 6;product_id 7;product_name 7;product_code 7;product_price 7;product_discount 7;product_quantity 7;product_value 7;product_pkwiu 7;product_tax 7;product_tax_value 7;product_id 8;product_name 8;product_code 8;product_price 8;product_discount 8;product_quantity 8;product_value 8;product_pkwiu 8;product_tax 8;product_tax_value 8;product_id 9;product_name 9;product_code 9;product_price 9;product_discount 9;product_quantity 9;product_value 9;product_pkwiu 9;product_tax 9;product_tax_value 9;product_id 10;product_name 10;product_code 10;product_price 10;product_discount 10;product_quantity 10;product_value 10;product_pkwiu 10;product_tax 10;product_tax_value 10;product_id 11;product_name 11;product_code 11;product_price 11;product_discount 11;product_quantity 11;product_value 11;product_pkwiu 11;product_tax 11;product_tax_value 11;product_id 12;product_name 12;product_code 12;product_price 12;product_discount 12;product_quantity 12;product_value 12;product_pkwiu 12;product_tax 12;product_tax_value 12;product_id 13;product_name 13;product_code 13;product_price 13;product_discount 13;product_quantity 13;product_value 13;product_pkwiu 13;product_tax 13;product_tax_value 13;product_id 14;product_name 14;product_code 14;product_price 14;product_discount 14;product_quantity 14;product_value 14;product_pkwiu 14;product_tax 14;product_tax_value 14;product_id 15;product_name 15;product_code 15;product_price 15;product_discount 15;product_quantity 15;product_value 15;product_pkwiu 15;product_tax 15;product_tax_value 15
234;309.99;2022-10-31 22:02;Autopay;Punkt odbioru DPD Pickup;10.00;0;30-110;Kraków;Polska;341;LEGO 5540 Formula I Racer [Model Team];341;299.99;0.0000;1;299.99;;zw.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
237;519.98;2022-11-01 11:26;Allegro;Allegro: Allegro Kurier DPD;0.00;0;14-500;Braniewo;Polska;268;LEGO 1596 Ghostly Hideout [Castle: Wolfpack];254;229.99;0.0000;1;229.99;;zw.;0;311;LEGO 6266 Cannon Cove [Pirates I: Imperial Guards];311;289.99;0.0000;1;289.99;;zw.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
238;109.98;2022-11-03 00:03;BLIK;Punkt odbioru DPD Pickup;10.00;0;34-424;Szaflary;Polska;160;LEGO 6447 Dumper [Town Jr: Construction];160;49.99;0.0000;1;49.99;;zw.;0;169;LEGO 6517 Water Jet [Classic Town: Race] z instrukcją;169;49.99;0.0000;1;49.99;;zw.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
239;299.99;2022-11-03 09:13;Allegro;Allegro: Allegro Paczkomaty InPost;0.00;0;61-619;Poznań;Polska;197;LEGO 6265 Sabre Island [Pirates: Imperial Soldiers];125_1;299.99;0.0000;1;299.99;;zw.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240;119.98;2022-11-03 18:45;Allegro;Allegro: Allegro Paczkomaty InPost;9.99;0;41-909;Bytom;Polska;191;LEGO 6245 Harbor Sentry [Pirates: Imperial Soldiers] z instrukcją;191;109.99;0.0000;1;109.99;;zw.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
241;109.99;2022-11-05 16:14;Allegro;Allegro: Allegro Paczkomaty InPost;0.00;0;43-211;Piasek;Polska;106;LEGO 6145 Crystal Crawler [Aquazone: Aquanauts] z instrukcją;106;109.99;0.0000;1;109.99;;zw.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
242;69.98;2022-11-05 19:20;Allegro;Allegro: Allegro Paczkomaty InPost;9.99;0;93-208;Łódź;Polska;359;LEGO 6115 Shark Scout [Aquazone: Aquasharks];359;59.99;0.0000;1;59.99;;zw.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
243;209.99;2022-11-06 17:06;Allegro;Allegro: Allegro Paczkomaty InPost;0.00;0;31-464;Kraków;Polska;73;LEGO 4805 Ninja Knights [Ninja] z pudełkiem;73;209.99;0.0000;1;209.99;;zw.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
244;209.99;2022-11-06 17:12;Allegro;Allegro: Allegro Paczkomaty InPost;0.00;0;86-170;Nowe;Polska;216;LEGO 6260 Shipwreck Island [Pirates: Pirates I];198_1;209.99;0.0000;1;209.99;;zw.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
245;69.99;2022-11-06 21:58;BLIK;Punkt odbioru DPD Pickup;10.00;0;57-300;Kłodzko;Polska;110;LEGO 6486 Fire Engine [Town Jr.: Fire];110;59.99;0.0000;1;59.99;;zw.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
246;89.99;2022-11-08 07:50;Allegro;Allegro: Allegro Kurier DPD;0.00;0;89-600;Chojnice;Polska;319;LEGO 2872 Witch and Fireplace [Castle: Fright Knights] z instrukcją;319;89.99;0.0000;1;89.99;;zw.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
247;109.97;2022-11-08 10:04;Allegro;Allegro: Allegro Paczkomaty InPost;19.98;0;33-370;Muszyna;Polska;226;LEGO 6850 Auxiliary Patroller [Space: Futuron] z instrukcją;226;89.99;0.0000;1;89.99;;zw.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
